row_index,active,max_z,auc,mean_over_baseline,prominence,n_peaks
617,1,4.302811682066459,-0.837413462872443,-0.03697365364311632,0.2071317573818376,2.0
618,1,3.6460993168274785,-6.856210336326603,-0.2856754306802752,0.4604158852214654,5.0
619,1,3.0342832518262566,-0.9534270432572443,-0.03972612680238518,2.4868321218396723,6.0
620,1,3.163418551913627,-3.2380929059606887,-0.15890500408218275,1.988367978002922,8.0
621,1,2.7308641027593303,9.574155829705576,0.4074547566756745,2.7303063603899727,8.0
622,0,2.3181105717736425,-24.414959652672483,-1.044926367979172,1.3135029935836209,6.0
623,0,1.9255611382279265,4.1619126709946475,0.17697506942874283,1.1797697504958358,7.0
624,1,2.7974526433129006,1.0314531167101277,0.03536956509115818,1.2530512440037895,5.0
625,0,1.8126989251166075,16.020327428899346,0.6927366824070001,1.7555022039014563,7.0
626,1,3.1212045626355978,4.602187231982342,0.19155075088192505,1.7873869058676037,4.0
627,1,3.0425128657489275,-7.37325795880793,-0.3146217382525996,0.8343588839878447,6.0
628,1,3.613882607895007,-0.36631821342533244,-0.017082741894224925,0.30678863645748355,2.0
629,1,3.0206359037269768,4.785450744296627,0.19840271714157912,2.3220251134544823,7.0
630,1,4.794836927219237,-0.2653793347854606,-0.011057472282727526,0.0,0.0
631,0,2.278472564396349,-1.5202098232553767,-0.06334207596897401,1.4191174629186332,7.0
632,1,4.795289032176592,0.04423534983067266,0.0018431395762780276,0.04423534983067266,1.0
633,1,3.2855991567582987,-11.403966359431832,-0.5031642806469224,1.3439527521886103,3.0
634,1,3.9008934521489214,0.37359286634878464,0.01556636943119936,0.19412017399950246,3.0
635,1,3.0841445682819155,-1.8923841706511213,-0.08066589056278024,1.6296429591079327,6.0
636,1,4.793681031649781,-0.12270757645873794,-0.005112815685780747,0.0,0.0
637,1,2.5671566110625275,-10.770934302698734,-0.468133952285329,1.0500437993541785,4.0
638,1,4.494746985252354,-13.351932197944047,-0.5563305082476686,0.4445943596988893,2.0
639,1,2.901973823851433,-5.489745842546302,-0.2287394101060959,1.2986323903351076,2.0
640,1,3.316167007918645,-3.6199344917421894,-0.1508306038225912,0.3420133277298539,4.0
641,1,3.045112429431256,-0.26196874442406715,-0.01473826321535141,1.7755128726847045,8.0
642,0,2.449050911191772,4.382324000088178,0.1825968333370074,0.946829523709398,6.0
643,1,2.7585471709429337,-5.439426491304495,-0.23541131386977365,0.6840509135545926,7.0
644,1,3.0768009205664395,4.097203922830679,0.17071683011794495,1.0778111534886223,5.0
645,0,2.4372209875826507,6.296370880527931,0.2665955641831643,1.3610156401338318,8.0
646,1,2.885616283498902,5.770922154828239,0.2523341988139134,1.9928307913675611,8.0
647,1,3.2676136876029553,-6.443919008082825,-0.2864810473311117,1.3248250544606925,6.0
648,1,4.3634755595326675,1.6937299445003104,0.07057208102084626,0.9763530641251944,4.0
649,1,2.7473639012226094,10.30895954600766,0.42953998108365243,2.2768682511219964,7.0
650,1,4.795783531766158,0.500083067826087,0.020836794492753625,0.500083067826087,1.0
651,0,2.3814606804653993,9.517251250487424,0.3965521354369759,1.7374486227393773,7.0
652,1,4.794566816890019,-7.630429993402725,-0.3331070799919502,0.7282798528081613,1.0
653,1,2.927978911672076,2.6660933231286217,0.1110872217970259,1.1513881459258193,4.0
654,1,4.545946801479721,0.845129119621288,0.03521371331755367,0.6347016043643502,2.0
655,1,3.7927748476346492,-11.152468413555312,-0.4912609197381348,1.2309140706287605,7.0
656,0,0.0,0.0,0.0,0.0,0.0
657,0,2.413795454928165,-7.821466664662312,-0.3317351317473953,0.9428036036761834,5.0
658,1,2.7309599117381196,-9.71313017109529,-0.4303484940418257,2.894704117697239,7.0
659,1,3.190395816122317,-18.13120241183441,-0.7585697265124641,1.4721939235315382,8.0
660,0,2.388555026066554,-6.601037812075118,-0.2798141082985676,0.582489097623742,7.0
661,1,3.5865638874236914,-0.3360444448139017,-0.01921443718797919,1.0088670126420327,5.0
662,1,2.6478448432850303,17.061742275112934,0.7171360049487984,2.725345966187726,8.0
663,1,2.8242038198610477,-4.480887812757705,-0.20424219575561162,1.882335326921002,6.0
664,1,3.5730208968180666,1.8070141430208473,0.07529225595920198,1.3461607414410248,6.0
665,0,0.0,0.0,0.0,0.0,0.0
666,1,3.466459783539537,-22.22198185623804,-0.9271062619954745,1.1661924944149897,7.0
667,1,3.3867025118291947,2.6605952316281085,0.11085813465117121,1.0405055576884807,5.0
668,1,2.7965128637953995,-3.083893846634874,-0.14326880362854902,1.0563496826740624,7.0
669,1,4.79570766605798,-2.0345476926027475,-0.08880962150250088,0.19376644691454745,1.0
670,0,1.7568704383410751,-1.7122784744862944,-0.07444736524157511,1.024198294388691,8.0
671,1,3.9025997095145906,5.137492125890787,0.2140621719121161,1.4814715491192538,6.0
672,1,4.795606937527104,0.10685839279308088,0.004452433033045037,0.10685839279308088,1.0
673,0,1.9546203923339145,-7.976034231918387,-0.26879787477163225,3.432543856461629,7.0
674,1,2.8119921315081404,-9.418984124611026,-0.39954221463380174,2.2313052724371634,3.0
675,1,3.242997667187939,-20.393927029640132,-0.8671477791067805,1.6490461169140023,6.0
676,1,3.0347878214259425,3.049720398593474,0.11534828758775921,2.2452548690763194,4.0
677,1,3.908826738778487,9.118576058590511,0.37994066910793795,3.673376724195859,7.0
678,0,0.0,0.0,0.0,0.0,0.0
679,1,3.0643314357592013,1.4947516694533207,0.05509224079663753,1.872784973313823,7.0
680,1,2.689058784119301,-29.571020966578686,-1.2570557029596774,1.5039554369550696,6.0
681,0,0.0,0.0,0.0,0.0,0.0
682,1,3.2969674610934945,3.5476505874409874,0.1478187744767078,1.2685110716283947,6.0
683,1,3.1893098547142413,-2.3673034799367763,-0.09863764499736567,0.3932349792399444,2.0
684,1,3.7531489068972417,1.097425331859767,0.04572605549415696,0.5066366579055283,3.0
685,0,0.0,0.0,0.0,0.0,0.0
686,1,2.807420766385965,-5.768213744531868,-0.2642168773903709,1.8366405873131086,5.0
687,0,1.8194321518721375,3.4547546112062197,0.1343463498895874,1.069734517644422,9.0
688,1,3.417063405498286,2.5603974445477093,0.10668322685615457,1.1301173502376811,3.0
689,1,4.795777249147758,0.4421943370386998,0.018424764043279158,0.4421943370386998,1.0
690,1,3.022096212416956,-7.980792633835763,-0.35311806759138226,0.9880819767148236,6.0
691,1,2.7424516304609563,-2.4806463714566207,-0.10429727671198291,1.5149446054269498,5.0
692,1,3.4349339058834762,-6.178353598726843,-0.2574313999469518,1.5385772623099911,4.0
693,1,2.7546620574583605,-2.214006410737162,-0.10454668527764792,1.20557759473529,4.0
694,0,2.2814759431146254,8.690571594094898,0.362107149753954,1.6170296787816172,6.0
695,0,2.074679584937073,-3.3769372008421144,-0.15231454295601696,1.560507674663854,6.0
696,0,0.0,0.0,0.0,0.0,0.0
697,1,4.031620216636613,-12.472089130643061,-0.5473666212525042,1.3294195588340827,4.0
698,0,1.6955664207138508,-6.889403118300439,-0.28705846326251827,1.6560785447448283,7.0
699,1,2.935226301300491,3.0990022613494665,0.12959908284254393,0.9684722595551245,5.0
700,1,2.965704591090958,-9.172895358667503,-0.39585009496991685,0.7042578597737025,4.0
701,0,2.387625300253495,-2.548801603914335,-0.10620006682976396,0.6440445845195311,5.0
