row_index,active,max_z,max_run_sec,auc,mean_over_baseline,prominence,n_peaks
714,0,3.3316527015011137,4.0,-1.5089308078590162,-0.028617429616085065,1.3997185692682714,15.0
715,0,4.5885946216150755,1.0,-13.434894082468386,-0.21776606920915806,0.7550927881900177,6.0
716,0,4.1753992364411046,2.0,-17.4491574479431,-0.28384176641191716,0.9358721291294873,4.0
717,0,3.1560422255035245,2.0,-6.821804084007517,-0.10926742637721877,2.064609491412162,15.0
718,0,2.502288628968069,3.0,33.160151228576915,0.5432262735091059,1.9083154110922345,19.0
719,0,3.7895124025338447,1.0,-10.339376000346753,-0.16256111533429948,1.8131155722082892,16.0
720,0,4.45920930946776,2.0,-14.979859766261228,-0.2514443237928495,2.449702736958865,12.0
721,0,3.2633862877064423,2.0,12.403329083180274,0.20310020589149208,1.5758369570676947,12.0
722,0,5.020994372006368,3.0,-46.79664888342179,-0.7696121702738895,1.1526497311865127,6.0
723,0,3.4833095148108595,4.0,-17.894512658089905,-0.2933345729914772,1.419411886012712,11.0
724,0,4.216407217866435,2.0,-16.71309636786467,-0.27920845662466987,1.0399643290012193,7.0
725,0,3.3738157646304314,2.0,3.107386616573602,0.04724398395692564,1.647082731456362,15.0
726,0,2.5526852588387254,3.0,35.282198822952004,0.5801615026015359,1.6806499602768912,18.0
727,0,4.108342967323543,3.0,-2.6322826145296343,-0.03962816930167196,1.9266875312216745,13.0
728,0,3.131440059334479,2.0,-2.7661477495211075,-0.04000932391064878,1.543544419839728,12.0
729,0,3.7600660782076654,3.0,-15.716176805233395,-0.26544806283429756,1.5867472348527543,10.0
730,0,3.836950088837691,3.0,-0.21942457706948332,-0.007740717917668412,1.8913138248131334,15.0
731,1,4.642327208703779,5.0,-25.55280471099926,-0.42937692351532913,2.161042176270385,13.0
732,0,4.030319513215652,2.0,5.1041376455850935,0.08557221272735796,2.1962303431030756,14.0
733,0,3.7630619570224675,2.0,-24.786642613321813,-0.41303668210698735,1.774142763476155,11.0
734,1,3.641821026758355,5.0,-35.73713754273719,-0.5981334718174508,1.8421231433387286,13.0
735,0,4.198555498293178,2.0,-21.838167699916887,-0.36255998190989375,1.8809334389223904,6.0
736,1,3.7093147679209384,5.0,-42.80077811807012,-0.7155644634643533,1.4694655821794593,6.0
737,0,4.079113820188891,3.0,18.228753844093042,0.3008910413695865,2.5904027705082955,17.0
738,0,3.1312358471256503,4.0,-6.61707210960472,-0.10891367609616484,1.329728231497491,11.0
739,1,5.400566878443578,5.0,-29.411098576838654,-0.4880165633222088,1.0277708504269736,5.0
740,0,7.217709073101403,1.0,-3.504967488270448,-0.056518140555762104,1.3849972950274954,6.0
741,0,5.303879599063735,3.0,-27.63631524418476,-0.46201432350910754,1.4021615348635732,7.0
742,0,4.255772756118609,3.0,-10.037096290418901,-0.16187164632689388,0.5497370513252974,6.0
743,0,3.4589773875697998,3.0,-28.804935622885008,-0.4796931588097978,1.5251576231710118,10.0
744,0,3.967851113275437,3.0,-33.498339093258636,-0.5470077374998249,1.498100977910577,10.0
745,0,3.142028793241079,2.0,-12.920988923145998,-0.21713088239258246,1.9435933781568746,16.0
746,0,3.011286204998121,4.0,-15.001289474236126,-0.24320017974169386,1.30780334276017,8.0
747,0,4.160896169474533,2.0,-15.018233931149776,-0.24760738572274477,1.776479211579508,13.0
748,0,4.948865819782354,2.0,-10.03863704482529,-0.16966088678787186,2.033806408242021,6.0
749,0,3.2508548400324937,4.0,-24.156274428429317,-0.39679729944980396,1.514461954136107,10.0
750,0,2.9821098685684007,3.0,-22.468504611970687,-0.3767417881610008,1.5960361973242092,11.0
751,0,3.6999390103194307,4.0,-16.82732107031222,-0.2751049039054671,1.8219735592348583,11.0
752,0,5.739095818577509,1.0,-48.02382139105425,-0.8038307001907941,3.1713253943533846,12.0
753,1,3.5858511354021485,7.0,-23.840176780839677,-0.4006987447037492,1.722469229632003,7.0
754,0,5.091046035382674,2.0,-23.193852496949287,-0.38136789437484403,2.3767126057627768,8.0
755,0,2.791928251111737,2.0,-2.9784727434046276,-0.05513700796609422,1.8250935469634286,14.0
756,0,4.123240541486726,2.0,-13.389647050717839,-0.21899251109780216,0.603588811497891,3.0
757,0,4.243742285701966,2.0,-44.00650540920099,-0.734831289293932,1.8099428529012005,5.0
758,0,5.664664779133586,2.0,-7.948265540338506,-0.1350035107669793,2.6424646147577753,12.0
759,0,5.055373195450403,1.0,-27.411812827537446,-0.4516952362261394,2.155951863829294,12.0
760,0,3.941876064468489,1.0,-14.982910962802594,-0.24669124408537357,1.0228129664378147,7.0
761,1,4.259595627738496,7.0,-34.4023093690023,-0.5717915475446959,0.7299380586470896,5.0
762,0,3.813468378258545,2.0,26.52048269148463,0.4374784368943626,2.8366365464685814,18.0
763,0,4.531459874670727,2.0,-9.450120728421483,-0.1579945704885999,1.6362241643941475,7.0
764,0,5.749476645676818,1.0,-34.05675341552211,-0.5605760285675725,1.9335705537206782,10.0
765,0,4.284874789030063,2.0,5.618239537817195,0.0908175601305379,3.2903519857431283,20.0
766,0,3.9279687976759665,2.0,-24.066210449726483,-0.3936732331671857,1.1606369061101067,5.0
767,0,5.1624248940067785,3.0,-37.95037166402143,-0.6245499402653588,1.289467186834699,6.0
768,0,5.11037778554312,3.0,-28.098612295184807,-0.45981710277110827,2.056173653958754,7.0
769,0,4.495722791534151,2.0,-11.533053265298577,-0.19121754212417416,0.7532593157379096,6.0
770,0,4.127668684379368,2.0,6.524294001758419,0.10606715703225983,1.8410754367094004,9.0
771,0,3.7323914012464123,2.0,-19.078278866994474,-0.3151063124193408,1.5073321882306876,10.0
772,0,3.5381848755986627,3.0,-6.694843916136879,-0.10280888799332587,1.6476966565096016,11.0
773,0,6.188213739345919,2.0,6.605610968992762,0.10828870440971738,2.446345944950521,8.0
774,0,3.3015285516043136,2.0,-26.010959272490243,-0.428235245860569,1.1997316524855703,11.0
775,0,5.233485363736168,1.0,-29.97263042108595,-0.4990358157999941,2.637912875250444,10.0
776,0,4.704957849151328,2.0,-14.523742745237108,-0.23263109931455137,1.024936759324992,6.0
777,0,4.92159671932505,2.0,-24.88547240882445,-0.41466071523351167,2.384758536064449,9.0
778,0,4.480645964816555,3.0,1.3406812980766505,0.019780332966830825,1.9063301587715715,6.0
779,0,5.508413953606454,2.0,-15.43981511456578,-0.2526047947151901,1.1439631749872088,3.0
780,0,7.009540554931292,2.0,-18.196889109362964,-0.3013054833012596,2.5486090397400156,5.0
781,0,4.407024701106446,2.0,-27.339179113944965,-0.45792404993644337,1.4736690568090451,10.0
782,0,4.724169880592561,2.0,-31.254393139996438,-0.5095697541817111,2.4905219351615666,6.0
783,0,3.7498687099691677,3.0,5.829555802390577,0.09398506497148723,1.8237863875172144,10.0
784,0,5.190728354672736,2.0,-26.207113337025817,-0.43954929973058293,2.454745344500655,8.0
785,0,3.239965624876127,2.0,1.0179324070961808,0.013576830730576413,1.387725988048345,11.0
786,0,3.843786140896734,3.0,-37.01582203815389,-0.6204471958475504,2.121896919693008,10.0
787,0,3.5087228838162745,2.0,-14.125143450863916,-0.23268229770188498,0.9749305672723079,7.0
788,0,5.051112866404257,2.0,-32.82164834564342,-0.549032881808704,2.408787172648217,6.0
